uniprot	region_1	region_2	region_1_len	region_2_len	pdb	pdb_length	resolution	model	chain	label_offset	pdb residues in region_1	pdb residues in region_2	percent_region_1	percent_region_2	gt_fn	af_filename
P18031	353-387	2-277	35	276	1a5y	280	2.5	0	A	0	0	272	0.0	98.55072463768117	1a5y.cif	F-P18031-F1-model_v3.cif
P18031	353-387	2-277	35	276	1aax	296	1.9	0	A	0	0	275	0.0	99.63768115942028	1aax.cif	F-P18031-F1-model_v3.cif
P18031	353-387	2-277	35	276	1bzc	295	2.35	0	A	0	0	274	0.0	99.27536231884058	1bzc.cif	F-P18031-F1-model_v3.cif
P18031	353-387	2-277	35	276	1bzh	295	2.1	0	A	0	0	274	0.0	99.27536231884058	1bzh.cif	F-P18031-F1-model_v3.cif
P18031	353-387	2-277	35	276	1bzj	297	2.25	0	A	-1	0	276	0.0	100.0	1bzj.cif	F-P18031-F1-model_v3.cif
P18031	353-387	2-277	35	276	1c83	295	1.8	0	A	0	0	274	0.0	99.27536231884058	1c83.cif	F-P18031-F1-model_v3.cif
P18031	353-387	2-277	35	276	1c84	295	2.35	0	A	0	0	274	0.0	99.27536231884058	1c84.cif	F-P18031-F1-model_v3.cif
P18031	353-387	2-277	35	276	1c85	295	2.72	0	A	0	0	274	0.0	99.27536231884058	1c85.cif	F-P18031-F1-model_v3.cif
P18031	353-387	2-277	35	276	1c86	292	2.3	0	A	0	0	271	0.0	98.18840579710145	1c86.cif	F-P18031-F1-model_v3.cif
P18031	353-387	2-277	35	276	1c87	295	2.1	0	A	0	0	274	0.0	99.27536231884058	1c87.cif	F-P18031-F1-model_v3.cif
P18031	353-387	2-277	35	276	1c88	295	1.8	0	A	0	0	274	0.0	99.27536231884058	1c88.cif	F-P18031-F1-model_v3.cif
P18031	353-387	2-277	35	276	1ecv	295	1.95	0	A	0	0	274	0.0	99.27536231884058	1ecv.cif	F-P18031-F1-model_v3.cif
P18031	353-387	2-277	35	276	1een	298	1.9	0	A	0	0	275	0.0	99.63768115942028	1een.cif	F-P18031-F1-model_v3.cif
P18031	353-387	2-277	35	276	1eeo	296	1.8	0	A	0	0	275	0.0	99.63768115942028	1eeo.cif	F-P18031-F1-model_v3.cif
P18031	353-387	2-277	35	276	1g1f	296	2.0	0	A	0	0	275	0.0	99.63768115942028	1g1f.cif	F-P18031-F1-model_v3.cif
P18031	353-387	2-277	35	276	1g1g	297	2.2	0	A	0	0	275	0.0	99.63768115942028	1g1g.cif	F-P18031-F1-model_v3.cif
P18031	353-387	2-277	35	276	1g1h	297	2.4	0	A	0	0	275	0.0	99.63768115942028	1g1h.cif	F-P18031-F1-model_v3.cif
P18031	353-387	2-277	35	276	1g7f	296	1.8	0	A	0	0	275	0.0	99.63768115942028	1g7f.cif	F-P18031-F1-model_v3.cif
P18031	353-387	2-277	35	276	1g7g	297	2.2	0	A	0	0	276	0.0	100.0	1g7g.cif	F-P18031-F1-model_v3.cif
P18031	353-387	2-277	35	276	1gfy	290	2.13	0	A	0	0	269	0.0	97.46376811594203	1gfy.cif	F-P18031-F1-model_v3.cif
P18031	353-387	2-277	35	276	1i57	283	2.1	0	A	12	0	275	0.0	99.63768115942028	1i57.cif	F-P18031-F1-model_v3.cif
